anio,region_name,agregados,industry_gdp,prop_industry_gdp
1970,Asia,China,29262553894.4477,0.010318322378259711
1970,Asia,Corea del Sur,5641469007.11726,0.0019892486524712228
1970,Asia,India,20209924188.619,0.007126258144472031
1970,Asia,Indonesia,3805738554.36305,0.0013419483970174223
1970,Asia,Japón,290091333621.749,0.10228963303221594
1970,Asia,Otros,73245377536.67213,0.025827185858993858
1970,Asia,Tailandia,5212623936.61455,0.0018380328117850113
1970,Asia,Vietnam,1684024922.86872,5.938070924998926e-4
1971,Asia,China,32861848023.4965,0.011227012770943297
1971,Asia,Corea del Sur,6618025535.80575,0.0022610005729377853
1971,Asia,India,20870297790.3401,0.007130186338212129
1971,Asia,Indonesia,4286923888.82272,0.0014645965501837175
1971,Asia,Japón,303939786573.396,0.10383883045827028
1971,Asia,Otros,78702647618.09184,0.026888190502359723
1971,Asia,Tailandia,5789733628.87117,0.0019780206318652546
1971,Asia,Vietnam,1748119479.08919,5.972323803225008e-4
1972,Asia,China,35359348473.1896,0.011361587946834435
1972,Asia,Corea del Sur,7615720031.38968,0.002447066381347761
1972,Asia,India,21688496529.5831,0.006968899920266088
1972,Asia,Indonesia,4934336884.27757,0.0015854902562058304
1972,Asia,Japón,331481719007.583,0.10651097562298457
1972,Asia,Otros,83975405151.03699,0.02698279216648971
1972,Asia,Tailandia,6556560803.44561,0.002106739671789973
1972,Asia,Vietnam,1782357117.84337,5.727030621731674e-4
1973,Asia,China,38470971139.0274,0.011341659152780932
1973,Asia,Corea del Sur,9938089688.89047,0.0029298565267258806
1973,Asia,India,22653444958.0935,0.006678481040223506
1973,Asia,Indonesia,5686735770.88721,0.0016765113251820092
1973,Asia,Japón,373423714940.61,0.1100893574824558
1973,Asia,Otros,93472524945.36215,0.027556713196788624
1973,Asia,Tailandia,7588280489.12691,0.0022371073127412347
1973,Asia,Vietnam,1757049509.41042,5.179972342855117e-4
1974,Asia,China,38855680850.2448,0.011304728941020015
1974,Asia,Corea del Sur,11582816474.05,0.0033699216626104107
1974,Asia,India,23313818559.8146,0.006782956665065496
1974,Asia,Indonesia,6605362318.49212,0.0019217738290464286
1974,Asia,Japón,363691856094.076,0.10581304358160758
1974,Asia,Otros,100481632571.66426,0.029234273983045546
1974,Asia,Tailandia,8057129763.79142,0.0023441531850474004
1974,Asia,Vietnam,1800731200.97145,5.239073843816439e-4
1975,Asia,China,45072589786.4654,0.013482832005962711
1975,Asia,Corea del Sur,13067736721.1038,0.003909029850370384
1975,Asia,India,23805291575.7766,0.00712101853232173
1975,Asia,Indonesia,7419002974.94213,0.0022192905097483335
1975,Asia,Japón,345019037484.826,0.10320759786169939
1975,Asia,Otros,103063767195.17026,0.030830078004778952
1975,Asia,Tailandia,8524303828.88378,0.0025499257317390034
1975,Asia,Vietnam,1854282446.56854,5.546825429187244e-4
1976,Asia,China,43675339502.9459,0.012227953510063705
1976,Asia,Corea del Sur,15826285255.6629,0.004430946216919493
1976,Asia,India,25893013570.3195,0.00724936702900637
1976,Asia,Indonesia,8136406564.50021,0.0022779811752344824
1976,Asia,Japón,374718723125.13,0.10491144837959335
1976,Asia,Otros,112714123814.9855,0.03155700863743127
1976,Asia,Tailandia,9829920277.06052,0.0027521207510572666
1976,Asia,Vietnam,2058469432.33585,5.763176384419913e-4
1977,Asia,China,49964588391.479,0.013449201510998703
1977,Asia,Corea del Sur,18429851269.4575,0.004960849103741252
1977,Asia,India,27504491290.2503,0.0074035123220022436
1977,Asia,Indonesia,9256256070.15186,0.0024915496581196252
1977,Asia,Japón,386750245749.12,0.10410336914524146
1977,Asia,Otros,119788620813.35533,0.03224406228308249
1977,Asia,Tailandia,11235421095.092,0.003024290747376356
1977,Asia,Vietnam,2337942454.58578,6.293148849036747e-4
1978,Asia,China,58158780887.5251,0.015115238851393254
1978,Asia,Corea del Sur,23113972107.8452,0.006007230617336778
1978,Asia,India,30490709023.8291,0.007924415584549586
1978,Asia,Indonesia,10813546788.9487,0.00281039836205947
1978,Asia,Japón,397978400159.606,0.10343302394425061
1978,Asia,Otros,126076245470.04616,0.032766721287574234
1978,Asia,Tailandia,12215837488.0994,0.0031748482101011874
1978,Asia,Vietnam,2377860204.75301,6.179965329667709e-4
1979,Asia,China,63208904615.1981,0.01577482634792697
1979,Asia,Corea del Sur,25549223771.1321,0.006376230861261123
1979,Asia,India,29906479128.8054,0.007463655916944559
1979,Asia,Indonesia,12204609846.7503,0.0030458620054996852
1979,Asia,Japón,432658018694.712,0.1079769560079701
1979,Asia,Otros,128778070650.24353,0.032138694924325834
1979,Asia,Tailandia,13226407653.1175,0.0033008685280183445
1979,Asia,Vietnam,2539719401.99631,6.338289325349222e-4
1980,Asia,China,71160834343.0226,0.017707240508337607
1980,Asia,Corea del Sur,25241714592.9767,0.006280998744142445
1980,Asia,India,29964625232.1067,0.007456219852193737
1980,Asia,Indonesia,14916745368.2504,0.003711794560530466
1980,Asia,Japón,447734384037.74,0.11141157204245201
1980,Asia,Otros,134176326201.55667,0.03338764224044098
1980,Asia,Tailandia,13607727228.4601,0.003386066240380208
1980,Asia,Vietnam,2451295789.33145,6.099659243669792e-4
1981,Asia,China,72400471687.4797,0.017801180254202645
1981,Asia,Corea del Sur,27632936134.3486,0.006794139121133289
1981,Asia,India,32370766363.7572,0.007959034431367817
1981,Asia,Indonesia,16430291965.7327,0.004039733196403525
1981,Asia,Japón,463674234047.734,0.11400407244778243
1981,Asia,Otros,144428185655.67847,0.035510710175231934
1981,Asia,Tailandia,14462953646.5111,0.0035560216510888277
1981,Asia,Vietnam,2586077370.85393,6.358415678367215e-4
1982,Asia,China,76592635584.822,0.01914609052365405
1982,Asia,Corea del Sur,29119785988.3388,0.0072791601216638455
1982,Asia,India,34483408116.8552,0.008619920809987766
1982,Asia,Indonesia,16631514923.7795,0.0041574295993972435
1982,Asia,Japón,475846864315.215,0.11894886590612949
1982,Asia,Otros,149191619954.96518,0.03729387609158604
1982,Asia,Tailandia,14846041948.5636,0.0037111095720211945
1982,Asia,Vietnam,2811378545.21967,7.027687154520801e-4
