anio,region_name,lall_desc_full,exportaciones,prop_exportaciones
1962,Asia,Manufacturas basadas en recursos naturales,4610218336,0.14342734065003182
1962,Asia,Manufacturas de alta tecnología,528504893,0.05704252038791515
1962,Asia,Manufacturas de baja tecnología,3683863641,0.19372458736743903
1962,Asia,Manufacturas de media tecnología,1542067750,0.05146533280247121
1962,Asia,Total manufacturas,10364654620,0.11466904726461599
1963,Asia,Manufacturas basadas en recursos naturales,5450780796,0.14668394092822765
1963,Asia,Manufacturas de alta tecnología,620866157,0.059763553030815694
1963,Asia,Manufacturas de baja tecnología,4139752419,0.19448227733584186
1963,Asia,Manufacturas de media tecnología,1885820478,0.056254778183420846
1963,Asia,Total manufacturas,12097219850,0.11818583710109305
1964,Asia,Manufacturas basadas en recursos naturales,6279086756,0.1523640593327391
1964,Asia,Manufacturas de alta tecnología,707707006,0.062028976711673255
1964,Asia,Manufacturas de baja tecnología,4763450098,0.19352923176346357
1964,Asia,Manufacturas de media tecnología,2446776072,0.06428807811351764
1964,Asia,Total manufacturas,14197019932,0.1231380466830727
1965,Asia,Manufacturas basadas en recursos naturales,6782401979,0.15164306053741927
1965,Asia,Manufacturas de alta tecnología,939092568,0.07783618144394268
1965,Asia,Manufacturas de baja tecnología,5600699954,0.20639949497472285
1965,Asia,Manufacturas de media tecnología,3183314302,0.07329899921338578
1965,Asia,Total manufacturas,16505508803,0.12960186515599945
1966,Asia,Manufacturas basadas en recursos naturales,7525357542,0.15440585758244318
1966,Asia,Manufacturas de alta tecnología,1293265809,0.09360085853993302
1966,Asia,Manufacturas de baja tecnología,6218550826,0.21107935902736355
1966,Asia,Manufacturas de media tecnología,3869221898,0.07781488153356977
1966,Asia,Total manufacturas,18906396075,0.13338930395849513
1967,Asia,Manufacturas basadas en recursos naturales,7983941603,0.15686657444545335
1967,Asia,Manufacturas de alta tecnología,1495262413,0.09471002677435011
1967,Asia,Manufacturas de baja tecnología,6413709049,0.2057542457165492
1967,Asia,Manufacturas de media tecnología,4501927740,0.08392784245413036
1967,Asia,Total manufacturas,20394840805,0.13462267004332848
1968,Asia,Manufacturas basadas en recursos naturales,9390414274,0.16423421873842217
1968,Asia,Manufacturas de alta tecnología,1961639510,0.10515229970772091
1968,Asia,Manufacturas de baja tecnología,7634948679,0.21624063657220394
1968,Asia,Manufacturas de media tecnología,5610629431,0.09130620452032309
1968,Asia,Total manufacturas,24597631894,0.14252198060961757
1969,Asia,Manufacturas basadas en recursos naturales,10275710644,0.16316989188656986
1969,Asia,Manufacturas de alta tecnología,2572611585,0.11811083269484009
1969,Asia,Manufacturas de baja tecnología,9049774440,0.21628902973533037
1969,Asia,Manufacturas de media tecnología,6973360363,0.09708445281927502
1969,Asia,Total manufacturas,28871457032,0.14550256588783272
1970,Asia,Manufacturas basadas en recursos naturales,11478297790,0.15909286412916576
1970,Asia,Manufacturas de alta tecnología,3152249438,0.12102346046712746
1970,Asia,Manufacturas de baja tecnología,10399375767,0.21486233971007496
1970,Asia,Manufacturas de media tecnología,8815394242,0.10603571998958979
1970,Asia,Total manufacturas,33845317237,0.1473256856286365
1971,Asia,Manufacturas basadas en recursos naturales,14199659839,0.18135967519017646
1971,Asia,Manufacturas de alta tecnología,3743805907,0.1271073594121028
1971,Asia,Manufacturas de baja tecnología,12156763492,0.22251764598630527
1971,Asia,Manufacturas de media tecnología,11532622671,0.1215965757815501
1971,Asia,Total manufacturas,41632851909,0.1618534632465265
1972,Asia,Manufacturas basadas en recursos naturales,17533615897,0.18869224852740402
1972,Asia,Manufacturas de alta tecnología,4926216724,0.14131692711346627
1972,Asia,Manufacturas de baja tecnología,14258143633,0.21524744323124317
1972,Asia,Manufacturas de media tecnología,14834567206,0.1295829173434872
1972,Asia,Total manufacturas,51552543460,0.16710647773279197
1973,Asia,Manufacturas basadas en recursos naturales,26686791052,0.19745867897089767
1973,Asia,Manufacturas de alta tecnología,6932140758,0.1484560045741397
1973,Asia,Manufacturas de baja tecnología,19313578705,0.21324555014125476
1973,Asia,Manufacturas de media tecnología,20595656727,0.13495035214456522
1973,Asia,Total manufacturas,73528167242,0.17299426382863362
1974,Asia,Manufacturas basadas en recursos naturales,71219410396,0.29429142443513895
1974,Asia,Manufacturas de alta tecnología,8562536352,0.14436414239362474
1974,Asia,Manufacturas de baja tecnología,26168109375,0.21738130225248234
1974,Asia,Manufacturas de media tecnología,31806420399,0.15573227609415674
1974,Asia,Total manufacturas,137756476522,0.22008226669709388
1975,Asia,Manufacturas basadas en recursos naturales,68845307966,0.2972963907261929
1975,Asia,Manufacturas de alta tecnología,9053469694,0.13764682516026447
1975,Asia,Manufacturas de baja tecnología,24462093160,0.20759579706488462
1975,Asia,Manufacturas de media tecnología,35488580342,0.1485299233189518
1975,Asia,Total manufacturas,137849451162,0.21074292959719057
1976,Asia,Manufacturas basadas en recursos naturales,52301639610,0.24419582873697912
1976,Asia,Manufacturas de alta tecnología,12113092065,0.16730209604443547
1976,Asia,Manufacturas de baja tecnología,29085090311,0.23255528035026654
1976,Asia,Manufacturas de media tecnología,41276797329,0.1648650904681362
1976,Asia,Total manufacturas,134776619315,0.2035850953208657
1977,Asia,Manufacturas basadas en recursos naturales,73803951814,0.2817272892241829
1977,Asia,Manufacturas de alta tecnología,14219821467,0.17122984372502306
1977,Asia,Manufacturas de baja tecnología,34302207479,0.23180149682451415
1977,Asia,Manufacturas de media tecnología,51509560773,0.17757126567583556
1977,Asia,Total manufacturas,173835541533,0.2219912312817505
1978,Asia,Manufacturas basadas en recursos naturales,34979914263,0.14437726912517473
1978,Asia,Manufacturas de alta tecnología,19199691514,0.17668963651607475
1978,Asia,Manufacturas de baja tecnología,41779280634,0.22934698079500987
1978,Asia,Manufacturas de media tecnología,64753013536,0.18585013880815796
1978,Asia,Total manufacturas,160711899947,0.18231098619541425
1979,Asia,Manufacturas basadas en recursos naturales,48263671518,0.14782771411173257
1979,Asia,Manufacturas de alta tecnología,22116012175,0.16706467158729563
1979,Asia,Manufacturas de baja tecnología,50172770658,0.22354706689732787
1979,Asia,Manufacturas de media tecnología,69397308711,0.16996413476698546
1979,Asia,Total manufacturas,189949763062,0.17400867142606782
