geocodigoFundar,geonombreFundar,anio,gdp_indust_pc,gdp_indust_pc_vs_usa
CHN,China,1970,35.5426153088986,0.00946648714059293
CHN,China,1971,38.9326160170773,0.010363818914121869
CHN,China,1972,40.9404385524596,0.010276553326514719
CHN,China,1973,43.5893678317622,0.010107310313018045
CHN,China,1974,43.1582290620371,0.010513076918881844
CHN,China,1975,49.1996109348313,0.012862253862781855
CHN,China,1976,46.9439383336084,0.011502777342834962
CHN,China,1977,52.9540356630368,0.012563462205919829
CHN,China,1978,60.8252704170835,0.01398239236617858
CHN,China,1979,65.2116812707803,0.015015902468004189
CHN,China,1980,72.3794478772715,0.018063631394209596
CHN,China,1981,72.565844093995,0.017703402400620998
CHN,China,1982,75.5658335127663,0.01962337625137216
CHN,China,1983,81.6776915233472,0.020781989863983705
CHN,China,1984,92.4303053520378,0.02201378206953439
CHN,China,1985,107.454051781673,0.02517700003100077
CHN,China,1986,115.902186564905,0.027160979423251092
CHN,China,1987,128.853590966366,0.028337286952509873
CHN,China,1988,145.776276809106,0.030214043883863104
CHN,China,1989,150.598037126884,0.031745872954906516
CHN,China,1990,153.012406407623,0.03287615842476151
CHN,China,1991,172.325758599092,0.03874311543195353
CHN,China,1992,206.15526510626,0.04610515800832001
CHN,China,1993,244.668906727051,0.053489521506067894
CHN,China,1994,287.818510464116,0.059225020387289384
CHN,China,1995,325.087330008421,0.06343517491076589
CHN,China,1996,362.482433095117,0.069733762475992625
CHN,China,1997,400.203147706373,0.07395691924500457
CHN,China,1998,432.407025765503,0.07749787558882196
CHN,China,1999,465.96625665416,0.07984980243671902
CHN,China,2000,508.108195005621,0.08205751369195295
CHN,China,2001,548.451922157158,0.09317112124827488
CHN,China,2002,599.70764570237,0.10198237799522955
CHN,China,2003,672.182012808054,0.1093150779965352
CHN,China,2004,805.851842100075,0.12363005345811917
CHN,China,2005,877.165488882156,0.1319222947245739
CHN,China,2006,986.402803046915,0.14170485400594068
CHN,China,2007,1143.67427016018,0.16055140853908131
CHN,China,2008,1243.69968350035,0.18011767946710303
CHN,China,2009,1394.25796574326,0.22511841003552407
CHN,China,2010,1536.35440094839,0.237014606189722
CHN,China,2011,1692.34909283197,0.2622653899294904
CHN,China,2012,1842.58915138797,0.2900133594882084
CHN,China,2013,1983.91039450131,0.30552032801208334
CHN,China,2014,2151.57221247889,0.3288023411444608
