anio,subregion_es,valor
1970,América Latina y el Caribe,0.15081800607512258
1970,América del Norte,0.1375704786240588
1970,Asia Occidental,0.10849661128632654
1970,Asia del Sur,0.10980939554273486
1970,Australia y Nueva Zelanda,0.24309869194689349
1970,Este de Asia,0.2299005117114743
1970,Europa Occidental,0.26690463056425434
1970,Europa del Este,0.31172190855037823
1970,Europa del Norte,0.21810270564287856
1970,Europa del Sur,0.2070072096852246
1970,Melanesia,0.10612380890515026
1970,Micronesia,0.09195205067533088
1970,Polinesia,0.07663307960777338
1970,Sudeste Asiático,0.14066427273179052
1970,África Subsahariana,0.10866168394554628
1970,África del Norte,0.12698186910654446
1970,NA,0.1893195373101648
1971,América Latina y el Caribe,0.1501976630790545
1971,América del Norte,0.13624251011238098
1971,Asia Occidental,0.10528651689473731
1971,Asia del Sur,0.11007323196626521
1971,Australia y Nueva Zelanda,0.24308327244508848
1971,Este de Asia,0.22930339603337271
1971,Europa Occidental,0.2559901850945855
1971,Europa del Este,0.3072858985367758
1971,Europa del Norte,0.21288508626141986
1971,Europa del Sur,0.20447003109377607
1971,Melanesia,0.0944004961446776
1971,Micronesia,0.08526843231230793
1971,Polinesia,0.07433967406769196
1971,Sudeste Asiático,0.14237842720284305
1971,África Subsahariana,0.10972350758240196
1971,África del Norte,0.12089024665793854
1971,NA,0.18040194453194164
1972,América Latina y el Caribe,0.1496359155635693
1972,América del Norte,0.1366884645421873
1972,Asia Occidental,0.10671347640891045
1972,Asia del Sur,0.10747073239373049
1972,Australia y Nueva Zelanda,0.2328610738069945
1972,Este de Asia,0.23224747302303272
1972,Europa Occidental,0.2504241601128723
1972,Europa del Este,0.308898036917736
1972,Europa del Norte,0.21127061473330327
1972,Europa del Sur,0.21048511927897032
1972,Melanesia,0.11236906965832202
1972,Micronesia,0.06666030780983756
1972,Polinesia,0.07662263670350931
1972,Sudeste Asiático,0.14665891820851906
1972,África Subsahariana,0.11124841970370872
1972,África del Norte,0.1243801909061657
1972,NA,0.1824956214033881
1973,América Latina y el Caribe,0.14962056429707749
1973,América del Norte,0.13621640875600347
1973,Asia Occidental,0.10762732493794684
1973,Asia del Sur,0.11194999589618711
1973,Australia y Nueva Zelanda,0.228395605581445
1973,Este de Asia,0.23698150162288473
1973,Europa Occidental,0.25396819809385185
